id,short_code,name,github_link,oomp_key,md5_6
electronic_header_2d54_mm_9_pin_surface_mount,hi19psm,Electronic Header 2D54 Mm 9 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_9_pin_surface_mount,oomp_electronic_header_2d54_mm_9_pin_surface_mount,04ea2f
electronic_header_2d54_mm_9_pin,hi19p,Electronic Header 2D54 Mm 9 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_9_pin,oomp_electronic_header_2d54_mm_9_pin,a557bf
electronic_header_2d54_mm_9_pin_surface_mount_right_angle,hi19psmra,Electronic Header 2D54 Mm 9 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_9_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_9_pin_surface_mount_right_angle,9e1ed5
electronic_header_2d54_mm_10_pin_right_angle,hi110pra,Electronic Header 2D54 Mm 10 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_10_pin_right_angle,oomp_electronic_header_2d54_mm_10_pin_right_angle,f84552
electronic_header_2d54_mm_10_pin_surface_mount,hi110psm,Electronic Header 2D54 Mm 10 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_10_pin_surface_mount,oomp_electronic_header_2d54_mm_10_pin_surface_mount,9b431a
electronic_header_2d54_mm_10_pin,hi110p,Electronic Header 2D54 Mm 10 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_10_pin,oomp_electronic_header_2d54_mm_10_pin,303a3a
electronic_header_2d54_mm_10_pin_surface_mount_right_angle,hi110psmra,Electronic Header 2D54 Mm 10 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_10_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_10_pin_surface_mount_right_angle,f796a0
electronic_header_2d54_mm_11_pin_right_angle,hi111pra,Electronic Header 2D54 Mm 11 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_11_pin_right_angle,oomp_electronic_header_2d54_mm_11_pin_right_angle,724713
electronic_header_2d54_mm_11_pin_surface_mount,hi111psm,Electronic Header 2D54 Mm 11 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_11_pin_surface_mount,oomp_electronic_header_2d54_mm_11_pin_surface_mount,815ed6
electronic_header_2d54_mm_11_pin,hi111p,Electronic Header 2D54 Mm 11 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_11_pin,oomp_electronic_header_2d54_mm_11_pin,ca9068
electronic_header_2d54_mm_11_pin_surface_mount_right_angle,hi111psmra,Electronic Header 2D54 Mm 11 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_11_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_11_pin_surface_mount_right_angle,cfe95c
